class_id,scientific_name,common_name,venom_status,poisonous,genus,family,snake_sub_family,countries,continents,known_country_count,train_count,test_count,total_data2_count,data1_sample_count,region_metadata_available,source_note
99,Bungarus multicinctus,Many-banded krait,Venomous,1,Bungarus,Elapidae,Bungarus multicinctus,China | Hong Kong | Hong Kong S.A.R. | Taiwan | Vietnam | unknown,Asia | unknown,5,168,30,198,168,yes,DATA_1 metadata + DATA_2 train/test metadata
110,Carphophis amoenus,Worm snake,Non Venomous,0,Carphophis,Colubridae,Carphophis amoenus,United States of America | unknown,North America | unknown,1,175,25,200,175,yes,DATA_1 metadata + DATA_2 train/test metadata
111,Carphophis vermis,Western worm snake,Non Venomous,0,Carphophis,Colubridae,Carphophis vermis,United States of America | unknown,North America | unknown,1,197,26,223,197,yes,DATA_1 metadata + DATA_2 train/test metadata
113,Causus rhombeatus,Rhombic night adder,Venomous,1,Causus,Viperidae,Causus rhombeatus,Botswana | Democratic Republic of the Congo | Ethiopia | Kenya | South Africa | Zambia | Zimbabwe | unknown,Africa | unknown,7,193,25,218,193,yes,DATA_1 metadata + DATA_2 train/test metadata
114,Cemophora coccinea,Scarlet snake,Non Venomous,0,Cemophora,Colubridae,Cemophora coccinea,United States of America | unknown,North America | unknown,1,188,26,214,188,yes,DATA_1 metadata + DATA_2 train/test metadata
122,Charina bottae,Rubber boa,Non Venomous,0,Charina,Boidae,Charina bottae,Canada | United States of America | unknown,North America | unknown,2,190,22,212,190,yes,DATA_1 metadata + DATA_2 train/test metadata
135,Chrysopelea ornata,Golden tree snake,Non Venomous,0,Chrysopelea,Colubridae,Chrysopelea ornata,Burma | Cambodia | China | India | Laos | Malaysia | Sri Lanka | Thailand | Vietnam | unknown,Asia | unknown,9,183,26,209,183,yes,DATA_1 metadata + DATA_2 train/test metadata
140,Clonophis kirtlandii,Kirtland's snake,Non Venomous,0,Clonophis,Colubridae,Clonophis kirtlandii,United States of America | unknown,North America | unknown,1,175,27,202,175,yes,DATA_1 metadata + DATA_2 train/test metadata
155,Contia tenuis,Sharp-tailed snake,Non Venomous,0,Contia,Colubridae,Contia tenuis,Canada | United States of America | unknown,North America | unknown,2,193,22,215,193,yes,DATA_1 metadata + DATA_2 train/test metadata
158,Corallus caninus,Emerald tree boa,Non Venomous,0,Corallus,Boidae,Corallus caninus,Australia | Brazil | Canada | Colombia | France | French Guiana | Germany | Guyana | Netherlands | Peru | Singapore | Suriname | United Kingdom | United States of America | unknown,Asia | Australia | Europe | North America | South America | unknown,14,190,31,221,190,yes,DATA_1 metadata + DATA_2 train/test metadata
159,Corallus hortulanus,Amazon tree boa,Non Venomous,0,Corallus,Boidae,Corallus hortulanus,Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guyana | Hungary | Peru | Suriname | unknown,Europe | North America | South America | unknown,10,186,27,213,186,yes,DATA_1 metadata + DATA_2 train/test metadata
162,Coronella girondica,Southern smooth snake,Non Venomous,0,Coronella,Colubridae,Coronella girondica,Algeria | France | Italy | Portugal | Spain | unknown,Africa | Europe | unknown,5,184,24,208,184,yes,DATA_1 metadata + DATA_2 train/test metadata
163,Crotalus adamanteus,Eastern diamondback rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus adamanteus,United States of America | unknown,North America | unknown,1,173,14,187,173,yes,DATA_1 metadata + DATA_2 train/test metadata
165,Crotalus atrox,Western diamondback rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus atrox,Mexico | Netherlands | United States of America | unknown,Europe | North America | South America | unknown,3,183,20,203,183,yes,DATA_1 metadata + DATA_2 train/test metadata
168,Crotalus cerastes,Sidewinder,Venomous,1,Crotalus,Viperidae,Crotalus cerastes,Mexico | United States of America | unknown,North America | South America | unknown,2,186,18,204,186,yes,DATA_1 metadata + DATA_2 train/test metadata
169,Crotalus cerberus,Arizona black rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus cerberus,United States of America | unknown,North America | unknown,1,177,25,202,177,yes,DATA_1 metadata + DATA_2 train/test metadata
175,Crotalus lepidus,Rock rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus lepidus,Mexico | United States of America | unknown,North America | South America | unknown,2,187,26,213,187,yes,DATA_1 metadata + DATA_2 train/test metadata
177,Crotalus molossus,Black-tailed rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus molossus,Mexico | Spain | United States of America | unknown,Europe | North America | South America | unknown,3,177,26,203,177,yes,DATA_1 metadata + DATA_2 train/test metadata
180,Crotalus ornatus,Eastern ornate box turtle,Venomous,1,Crotalus,Viperidae,Crotalus ornatus,Mexico | United States of America | unknown,North America | South America | unknown,2,179,28,207,179,yes,DATA_1 metadata + DATA_2 train/test metadata
185,Crotalus ruber,Red diamond rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus ruber,Mexico | United States of America | unknown,North America | South America | unknown,2,176,29,205,176,yes,DATA_1 metadata + DATA_2 train/test metadata
186,Crotalus scutulatus,Mohave rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus scutulatus,Mexico | United States of America | unknown,North America | South America | unknown,2,184,24,208,184,yes,DATA_1 metadata + DATA_2 train/test metadata
188,Crotalus stephensi,Panamint rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus stephensi,United States of America | unknown,North America | unknown,1,189,21,210,189,yes,DATA_1 metadata + DATA_2 train/test metadata
189,Crotalus tigris,Tiger rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus tigris,Mexico | United States of America | unknown,North America | South America | unknown,2,198,26,224,198,yes,DATA_1 metadata + DATA_2 train/test metadata
191,Crotalus triseriatus,Mexican dusky rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus triseriatus,Mexico | unknown,North America | South America | unknown,1,189,22,211,189,yes,DATA_1 metadata + DATA_2 train/test metadata
193,Crotalus viridis,Prairie rattlesnake,Venomous,1,Crotalus,Viperidae,Crotalus viridis,Canada | Mexico | United States of America | unknown,North America | unknown,3,178,17,195,178,yes,DATA_1 metadata + DATA_2 train/test metadata
195,Crotaphopeltis hotamboeia,Herald snake,Non Venomous,0,Crotaphopeltis,Colubridae,Crotaphopeltis hotamboeia,Angola | Benin | Democratic Republic of the Congo | Ethiopia | Gambia | Ghana | Kenya | Malawi | Mozambique | Nigeria | Rwanda | South Africa | South Sudan | Swaziland | Tanzania | Uganda | Zambia | Zimbabwe | unknown,Africa | unknown,18,183,25,208,183,yes,DATA_1 metadata + DATA_2 train/test metadata
203,Daboia russelii,Russell's viper,Venomous,1,Daboia,Viperidae,Daboia russelii,India | Pakistan | Sri Lanka | Thailand | unknown,Asia | unknown,4,165,20,185,165,yes,DATA_1 metadata + DATA_2 train/test metadata
215,Dendrelaphis pictus,Painted bronzeback,Non Venomous,0,Dendrelaphis,Colubridae,Dendrelaphis pictus,Bangladesh | Cambodia | China | India | Indonesia | Laos | Malaysia | Singapore | Thailand | Vietnam | unknown,Asia | unknown,10,183,28,211,183,yes,DATA_1 metadata + DATA_2 train/test metadata
216,Dendrelaphis punctulatus,Common tree snake,Non Venomous,0,Dendrelaphis,Colubridae,Dendrelaphis punctulatus,Australia | Papua New Guinea | unknown,Australia | Oceania | unknown,2,184,26,210,184,yes,DATA_1 metadata + DATA_2 train/test metadata
220,Dendroaspis polylepis,Black mamba,Venomous,1,Dendroaspis,Elapidae,Dendroaspis polylepis,Angola | Botswana | Germany | Kenya | Malawi | Namibia | Senegal | South Africa | South Sudan | Swaziland | Sweden | Tanzania | United Kingdom | United States of America | Zambia | Zimbabwe | unknown,Africa | Europe | North America | unknown,16,122,16,138,122,yes,DATA_1 metadata + DATA_2 train/test metadata
226,Diadophis punctatus,Ring-necked snake,Non Venomous,0,Diadophis,Colubridae,Diadophis punctatus,Canada | Mexico | United States of America | unknown,North America | unknown,3,188,22,210,188,yes,DATA_1 metadata + DATA_2 train/test metadata
238,Drymarchon couperi,Eastern indigo snake,Non Venomous,0,Drymarchon,Colubridae,Drymarchon couperi,United States of America | unknown,North America | unknown,1,175,25,200,175,yes,DATA_1 metadata + DATA_2 train/test metadata
255,Elaphe dione,Dione rat snake,Non Venomous,0,Elaphe,Colubridae,Elaphe dione,China | Kazakhstan | Kyrgyzstan | Mongolia | Russia | South Korea | Ukraine | unknown,Asia | Europe | unknown,7,161,22,183,161,yes,DATA_1 metadata + DATA_2 train/test metadata
263,Epicrates cenchria,Rainbow boa,Non Venomous,0,Epicrates,Boidae,Epicrates cenchria,Argentina | Belgium | Bolivia | Brazil | Colombia | Ecuador | French Guiana | Peru | Suriname | United Kingdom | United States of America | unknown,Europe | North America | South America | unknown,11,184,22,206,184,yes,DATA_1 metadata + DATA_2 train/test metadata
280,Eunectes murinus,Green anaconda,Non Venomous,0,Eunectes,Boidae,Eunectes murinus,Bolivia | Brazil | Colombia | Ecuador | France | French Guiana | Germany | Guyana | Hungary | Malaysia | Peru | Singapore | Spain | Suriname | United States of America | Venezuela | unknown,Asia | Europe | North America | South America | unknown,16,146,20,166,146,yes,DATA_1 metadata + DATA_2 train/test metadata
284,Farancia abacura,Mud snake,Non Venomous,0,Farancia,Colubridae,Farancia abacura,United States of America | unknown,North America | unknown,1,127,21,148,127,yes,DATA_1 metadata + DATA_2 train/test metadata
302,Gonyosoma oxycephalum,Red-tailed green ratsnake,Non Venomous,0,Gonyosoma,Colubridae,Gonyosoma oxycephalum,Canada | France | Germany | Indonesia | Laos | Malaysia | Norway | Philippines | Singapore | Switzerland | Thailand | United Kingdom | United States of America | unknown,Asia | Europe | North America | unknown,13,181,27,208,181,yes,DATA_1 metadata + DATA_2 train/test metadata
315,Hemorrhois hippocrepis,Horseshoe whip snake,Non Venomous,0,Hemorrhois,Colubridae,Hemorrhois hippocrepis,Algeria | Italy | Morocco | Portugal | Spain | Tunisia | unknown,Africa | Europe | unknown,6,154,25,179,154,yes,DATA_1 metadata + DATA_2 train/test metadata
319,Heterodon nasicus,Western hog-nosed snake,Non Venomous,0,Heterodon,Colubridae,Heterodon nasicus,United Kingdom | United States of America | unknown,Europe | North America | unknown,2,167,25,192,167,yes,DATA_1 metadata + DATA_2 train/test metadata
321,Heterodon simus,Southern hog-nosed snake,Non Venomous,0,Heterodon,Colubridae,Heterodon simus,United States of America | unknown,North America | unknown,1,188,25,213,188,yes,DATA_1 metadata + DATA_2 train/test metadata
323,Hierophis viridiflavus,Western whip snake,Non Venomous,0,Hierophis,Colubridae,Hierophis viridiflavus,France | Italy | Spain | unknown,Europe | unknown,3,158,20,178,158,yes,DATA_1 metadata + DATA_2 train/test metadata
335,Hypsiglena torquata,Night snake,Non Venomous,0,Hypsiglena,Colubridae,Hypsiglena torquata,Colombia | Japan | Mexico | United States of America | Venezuela | unknown,Asia | North America | South America | unknown,5,172,18,190,172,yes,DATA_1 metadata + DATA_2 train/test metadata
338,Imantodes cenchoa,Blunthead tree snake,Non Venomous,0,Imantodes,Colubridae,Imantodes cenchoa,Belize | Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guatemala | Guyana | Honduras | Mexico | Nicaragua | Panama | Peru | Trinidad and Tobago | Venezuela | unknown,North America | South America | unknown,16,200,25,225,200,yes,DATA_1 metadata + DATA_2 train/test metadata
345,Lampropeltis alterna,Gray-banded kingsnake,Non Venomous,0,Lampropeltis,Colubridae,Lampropeltis alterna,Mexico | United States of America | unknown,North America | South America | unknown,2,190,24,214,190,yes,DATA_1 metadata + DATA_2 train/test metadata
348,Lampropeltis calligaster,Prairie kingsnake,Non Venomous,0,Lampropeltis,Colubridae,Lampropeltis calligaster,United States of America | unknown,North America | unknown,1,170,20,190,170,yes,DATA_1 metadata + DATA_2 train/test metadata
352,Lampropeltis getula,Common kingsnake,Non Venomous,0,Lampropeltis,Colubridae,Lampropeltis getula,United States of America | unknown,North America | unknown,1,180,20,200,180,yes,DATA_1 metadata + DATA_2 train/test metadata
360,Lampropeltis pyromelana,Sonoran mountain kingsnake,Non Venomous,0,Lampropeltis,Colubridae,Lampropeltis pyromelana,United States of America | unknown,North America | unknown,1,190,25,215,190,yes,DATA_1 metadata + DATA_2 train/test metadata
363,Lampropeltis triangulum,Milk snake,Non Venomous,0,Lampropeltis,Colubridae,Lampropeltis triangulum,Canada | Netherlands | United States of America | unknown,Europe | North America | unknown,3,190,21,211,190,yes,DATA_1 metadata + DATA_2 train/test metadata
364,Lampropeltis zonata,California mountain kingsnake,Non Venomous,0,Lampropeltis,Colubridae,Lampropeltis zonata,United States of America | unknown,North America | unknown,1,189,25,214,189,yes,DATA_1 metadata + DATA_2 train/test metadata
368,Laticauda colubrina,Yellow-lipped sea krait,Venomous,1,Laticauda,Elapidae,Laticauda colubrina,Fiji | India | Indonesia | Malaysia | Palau | Papua New Guinea | Philippines | Tonga | Vanuatu | unknown,Asia | Australia | Oceania | unknown,9,186,23,209,186,yes,DATA_1 metadata + DATA_2 train/test metadata
373,Leptodeira annulata,Banded cat-eyed snake,Non Venomous,0,Leptodeira,Colubridae,Leptodeira annulata,Argentina | Bolivia | Brazil | Colombia | Costa Rica | Ecuador | El Salvador | French Guiana | Guatemala | Guyana | Mexico | Panama | Peru | Suriname | Trinidad and Tobago | Venezuela | unknown,North America | South America | unknown,16,186,25,211,186,yes,DATA_1 metadata + DATA_2 train/test metadata
381,Leptophis ahaetulla,Parrot snake,Non Venomous,0,Leptophis,Colubridae,Leptophis ahaetulla,Argentina | Belize | Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guatemala | Honduras | Mexico | Panama | Paraguay | Peru | Suriname | unknown,North America | South America | unknown,15,173,27,200,173,yes,DATA_1 metadata + DATA_2 train/test metadata
383,Leptophis diplotropis,Pacific coast parrot snake,Non Venomous,0,Leptophis,Colubridae,Leptophis diplotropis,Ecuador | Mexico | unknown,North America | South America | unknown,2,192,14,206,192,yes,DATA_1 metadata + DATA_2 train/test metadata
384,Leptophis mexicanus,Mexican parrot snake,Non Venomous,0,Leptophis,Colubridae,Leptophis mexicanus,Belize | Costa Rica | El Salvador | Guatemala | Honduras | Mexico | unknown,North America | South America | unknown,6,178,23,201,178,yes,DATA_1 metadata + DATA_2 train/test metadata
396,Lycodon capucinus,Common wolf snake,Non Venomous,0,Lycodon,Colubridae,Lycodon capucinus,Bangladesh | East Timor | France | Hong Kong S.A.R. | India | Indonesia | Malaysia | Mauritius | Philippines | Singapore | Thailand | Vietnam | unknown,Africa | Asia | Europe | unknown,12,171,21,192,171,yes,DATA_1 metadata + DATA_2 train/test metadata
422,Malpolon monspessulanus,Montpellier snake,Venomous,1,Malpolon,Lamprophiidae,Malpolon monspessulanus,Algeria | France | Italy | Morocco | Portugal | Spain | unknown,Africa | Europe | unknown,6,171,20,191,171,yes,DATA_1 metadata + DATA_2 train/test metadata
424,Masticophis bilineatus,Sonoran whipsnake,Non Venomous,0,Masticophis,Colubridae,Masticophis bilineatus,Mexico | United States of America | unknown,North America | South America | unknown,2,161,23,184,161,yes,DATA_1 metadata + DATA_2 train/test metadata
427,Masticophis lateralis,Striped racer,Non Venomous,0,Masticophis,Colubridae,Masticophis lateralis,Mexico | United States of America | unknown,North America | South America | unknown,2,176,22,198,176,yes,DATA_1 metadata + DATA_2 train/test metadata
429,Masticophis schotti,Schott's whipsnake,Non Venomous,0,Masticophis,Colubridae,Masticophis schotti,Mexico | United States of America | unknown,North America | South America | unknown,2,158,21,179,158,yes,DATA_1 metadata + DATA_2 train/test metadata
430,Masticophis taeniatus,Striped whipsnake,Non Venomous,0,Masticophis,Colubridae,Masticophis taeniatus,Mexico | United States of America | unknown,North America | South America | unknown,2,152,20,172,152,yes,DATA_1 metadata + DATA_2 train/test metadata
441,Micrurus fulvius,Eastern coral snake,Venomous,1,Micrurus,Elapidae,Micrurus fulvius,United States of America | unknown,North America | unknown,1,178,24,202,178,yes,DATA_1 metadata + DATA_2 train/test metadata
448,Micrurus tener,Texas coral snake,Venomous,1,Micrurus,Elapidae,Micrurus tener,Mexico | United States of America | unknown,North America | South America | unknown,2,161,22,183,161,yes,DATA_1 metadata + DATA_2 train/test metadata
453,Morelia spilota,Diamond python,Non Venomous,0,Morelia,Pythonidae,Morelia spilota,Australia | France | Germany | Singapore | United Kingdom | unknown,Asia | Australia | Europe | Oceania | unknown,5,193,21,214,193,yes,DATA_1 metadata + DATA_2 train/test metadata
454,Morelia viridis,Green tree python,Non Venomous,0,Morelia,Pythonidae,Morelia viridis,Argentina | Australia | Canada | Denmark | Finland | France | Germany | Indonesia | Netherlands | Spain | Sweden | United Kingdom | United States of America | unknown,Asia | Australia | Europe | North America | South America | unknown,13,157,30,187,157,yes,DATA_1 metadata + DATA_2 train/test metadata
457,Naja atra,Chinese cobra,Venomous,1,Naja,Elapidae,Naja atra,China | Hong Kong | Hong Kong S.A.R. | Macau S.A.R | Taiwan | Vietnam | unknown,Asia | unknown,6,180,26,206,180,yes,DATA_1 metadata + DATA_2 train/test metadata
462,Naja naja,Indian cobra,Venomous,1,Naja,Elapidae,Naja naja,Ethiopia | Hong Kong S.A.R. | India | Pakistan | Sri Lanka | Tanzania | unknown,Africa | Asia | unknown,6,152,18,170,152,yes,DATA_1 metadata + DATA_2 train/test metadata
464,Naja nivea,Cape cobra,Venomous,1,Naja,Elapidae,Naja nivea,Botswana | Germany | Namibia | South Africa | unknown,Africa | Europe | unknown,4,159,20,179,159,yes,DATA_1 metadata + DATA_2 train/test metadata
470,Natrix maura,Viperine water snake,Non Venomous,0,Natrix,Colubridae,Natrix maura,Algeria | France | Italy | Morocco | Portugal | Spain | Switzerland | Tunisia | unknown,Africa | Europe | unknown,8,192,20,212,192,yes,DATA_1 metadata + DATA_2 train/test metadata
474,Nerodia cyclopion,Green water snake,Non Venomous,0,Nerodia,Colubridae,Nerodia cyclopion,United States of America | unknown,North America | unknown,1,172,22,194,172,yes,DATA_1 metadata + DATA_2 train/test metadata
477,Nerodia floridana,Florida green water snake,Non Venomous,0,Nerodia,Colubridae,Nerodia floridana,United States of America | unknown,North America | unknown,1,156,25,181,156,yes,DATA_1 metadata + DATA_2 train/test metadata
481,Nerodia taxispilota,Brown water snake,Non Venomous,0,Nerodia,Colubridae,Nerodia taxispilota,United States of America | unknown,North America | unknown,1,157,28,185,157,yes,DATA_1 metadata + DATA_2 train/test metadata
485,Ninia sebae,Redback coffee snake,Non Venomous,0,Ninia,Colubridae,Ninia sebae,Belize | Costa Rica | El Salvador | Guatemala | Honduras | Mexico | Nicaragua | unknown,North America | South America | unknown,7,188,25,213,188,yes,DATA_1 metadata + DATA_2 train/test metadata
495,Opheodrys aestivus,Rough green snake,Non Venomous,0,Opheodrys,Colubridae,Opheodrys aestivus,Mexico | United States of America | unknown,North America | South America | unknown,2,172,26,198,172,yes,DATA_1 metadata + DATA_2 train/test metadata
497,Ophiophagus hannah,King cobra,Venomous,1,Ophiophagus,Elapidae,Ophiophagus hannah,Bhutan | China | Hong Kong | Hong Kong S.A.R. | India | Indonesia | Malaysia | Singapore | Spain | Thailand | United Kingdom | United States of America | Vietnam | unknown,Asia | Europe | North America | unknown,13,179,27,206,179,yes,DATA_1 metadata + DATA_2 train/test metadata
507,Oxybelis aeneus,Mexican vine snake,Non Venomous,0,Oxybelis,Colubridae,Oxybelis aeneus,Belize | Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guatemala | Honduras | Mexico | Nicaragua | Panama | Trinidad and Tobago | United States of America | unknown,North America | South America | unknown,14,170,27,197,170,yes,DATA_1 metadata + DATA_2 train/test metadata
515,Oxyuranus scutellatus,unknown,Venomous,1,Oxyuranus,Elapidae,Oxyuranus scutellatus,Australia | Switzerland | unknown,Australia | Europe | unknown,2,178,23,201,178,yes,DATA_1 metadata + DATA_2 train/test metadata
544,Phyllorhynchus decurtatus,unknown,Non Venomous,0,Phyllorhynchus,Colubridae,Phyllorhynchus decurtatus,Mexico | United States of America | unknown,North America | South America | unknown,2,176,24,200,176,yes,DATA_1 metadata + DATA_2 train/test metadata
545,Pituophis catenifer,unknown,Non Venomous,0,Pituophis,Colubridae,Pituophis catenifer,Canada | Mexico | United States of America | unknown,North America | South America | unknown,3,177,18,195,177,yes,DATA_1 metadata + DATA_2 train/test metadata
546,Pituophis deppei,unknown,Non Venomous,0,Pituophis,Colubridae,Pituophis deppei,Mexico | unknown,North America | South America | unknown,1,183,22,205,183,yes,DATA_1 metadata + DATA_2 train/test metadata
560,Protobothrops mucrosquamatus,unknown,Venomous,1,Protobothrops,Viperidae,Protobothrops mucrosquamatus,China | Hong Kong S.A.R. | Japan | Taiwan | Vietnam | unknown,Asia | unknown,5,185,25,210,185,yes,DATA_1 metadata + DATA_2 train/test metadata
562,Psammodynastes pulverulentus,unknown,Non Venomous,0,Psammodynastes,Lamprophiidae,Psammodynastes pulverulentus,Bangladesh | Bhutan | China | Hong Kong | Hong Kong S.A.R. | India | Indonesia | Laos | Malaysia | Philippines | Taiwan | Thailand | Vietnam | unknown,Asia | unknown,13,188,25,213,188,yes,DATA_1 metadata + DATA_2 train/test metadata
575,Pseudaspis cana,unknown,Non Venomous,0,Pseudaspis,Lamprophiidae,Pseudaspis cana,Botswana | Namibia | South Africa | Swaziland | Zambia | Zimbabwe | unknown,Africa | unknown,6,158,26,184,158,yes,DATA_1 metadata + DATA_2 train/test metadata
576,Pseudechis australis,unknown,Venomous,1,Pseudechis,Elapidae,Pseudechis australis,Australia | unknown,Australia | Oceania | unknown,1,190,20,210,190,yes,DATA_1 metadata + DATA_2 train/test metadata
578,Pseudechis porphyriacus,unknown,Venomous,1,Pseudechis,Elapidae,Pseudechis porphyriacus,Australia | unknown,Australia | Oceania | unknown,1,158,27,185,158,yes,DATA_1 metadata + DATA_2 train/test metadata
590,Pseudonaja textilis,unknown,Venomous,1,Pseudonaja,Elapidae,Pseudonaja textilis,Australia | unknown,Australia | Oceania | unknown,1,177,25,202,177,yes,DATA_1 metadata + DATA_2 train/test metadata
603,Python molurus,unknown,Non Venomous,0,Python,Pythonidae,Python molurus,Argentina | France | Germany | Hong Kong S.A.R. | India | Netherlands | Spain | Sri Lanka | Switzerland | Thailand | United Kingdom | United States of America | unknown,Asia | Europe | North America | South America | unknown,12,168,22,190,168,yes,DATA_1 metadata + DATA_2 train/test metadata
605,Python regius,unknown,Non Venomous,0,Python,Pythonidae,Python regius,Benin | Canada | France | Germany | Italy | Nigeria | Norway | Spain | United Kingdom | United States of America | unknown,Africa | Europe | North America | unknown,10,169,23,192,169,yes,DATA_1 metadata + DATA_2 train/test metadata
609,Regina septemvittata,unknown,Non Venomous,0,Regina,Colubridae,Regina septemvittata,Canada | United States of America | unknown,North America | unknown,2,177,23,200,177,yes,DATA_1 metadata + DATA_2 train/test metadata
